Date,sp500,dtb3,aig,ibm,ford,xom
2000-04-18,1441.61,5.65,1068.8674,78.032082,18.220205,22.763634
2000-04-19,1427.47,5.65,1066.9624,73.483131,18.096811,23.137115
2000-04-20,1434.54,5.63,1101.2571,72.783302,18.137941,23.603958
2000-04-24,1429.86,5.61,1136.8228,74.532913,18.199636,23.865402
2000-04-25,1477.4399,5.63,1168.577,78.731926,18.096811,24.201548
2000-04-26,1460.99,5.59,1158.4161,77.332237,18.096811,23.940105
2000-04-27,1464.92,5.59,1123.4855,77.419716,18.137941,24.108164
2000-04-28,1452.4301,5.66,1114.5945,78.032082,18.31691,23.211823
2000-05-01,1468.25,5.67,1118.4048,78.382034,18.086903,23.305185
2000-05-02,1446.29,5.75,1138.0929,77.944626,17.815077,23.379868
2000-05-03,1415.1,5.74,1113.3239,75.670135,17.752348,23.155787
2000-05-04,1409.5699,5.73,1117.7695,75.32019,17.605982,23.753359
2000-05-05,1432.63,5.79,1133.6472,75.495209,17.689619,23.902752
2000-05-08,1424.17,5.87,1174.2935,76.900055,17.91963,24.033468
2000-05-09,1412.14,5.96,1158.4161,76.374535,17.752348,23.734678
2000-05-10,1383.05,5.96,1161.5917,72.170433,17.480516,24.350922
2000-05-11,1407.8101,5.96,1173.0229,73.177696,17.710527,25.050911
2000-05-12,1420.96,5.96,1167.6241,73.177696,17.856897,24.777178
2000-05-15,1452.36,5.94,1223.8306,73.002518,17.522341,25.258579
2000-05-16,1466.04,6.02,1246.6943,76.374535,17.794161,25.145317
2000-05-17,1447.8,5.88,1200.3323,75.586281,17.522341,24.578972
2000-05-18,1437.21,5.75,1205.4128,74.316284,17.940535,24.602564
2000-05-19,1406.95,5.71,1182.5494,74.579048,17.877802,24.692242
2000-05-22,1400.72,5.71,1215.5746,76.549728,17.145962,25.164186
2000-05-23,1373.86,5.84,1153.97,75.235916,17.18779,25.069803
2000-05-24,1399.05,5.75,1168.577,76.812454,17.375971,25.050911
2000-05-25,1381.52,5.68,1164.767,74.622826,16.957781,24.597858
2000-05-26,1378.02,5.65,1153.97,74.929398,16.121387,24.881016
2000-05-30,1422.45,5.6,1156.5104,77.732101,16.414127,25.220819
2000-05-31,1420.6,5.48,1143.8459,75.192131,16.246849,25.164186
2000-06-01,1448.8101,5.57,1191.4799,74.272484,16.56049,25.050911
2000-06-02,1477.26,5.7,1205.4526,76.243149,16.184118,23.918253
2000-06-05,1467.63,5.72,1176.2371,79.045876,17.020508,23.956005
2000-06-06,1457.84,5.82,1185.1283,78.739342,16.727772,24.862129
2000-06-07,1471.36,5.75,1214.3442,84.782753,16.539585,24.503469
2000-06-08,1461.67,5.74,1215.6145,83.906891,16.393219,24.182533
2000-06-09,1456.95,5.75,1194.6555,83.863075,16.685955,23.918253
2000-06-12,1446,5.69,1214.6611,83.271828,16.76959,24.390196
2000-06-13,1469.4399,5.72,1242.925,83.600357,16.706865,24.522335
2000-06-14,1470.54,5.66,1234.6683,81.279327,16.1423,24.95652
2000-06-15,1478.73,5.67,1252.451,81.84864,15.389548,24.899904
2000-06-16,1464.46,5.66,1199.1016,79.352478,15.054997,25.485109
2000-06-19,1486,5.64,1195.2908,84.344803,14.929543,25.39072
2000-06-20,1475.95,5.63,1169.2511,81.542046,14.385882,25.145317
2000-06-21,1479.13,5.65,1176.8723,80.22831,14.615891,25.357689
2000-06-22,1452.1801,5.67,1171.7914,78.345222,14.615891,24.97541
2000-06-23,1441.48,5.69,1195.9261,78.389023,14.866805,25.107559
2000-06-26,1455.3101,5.66,1195.2908,80.162582,14.344067,25.178326
